Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Senior Citizen Savings Scheme,Neutral,1.99,3.5,0.0,0,0
Time Deposit,Neutral,1.95,3.5,0.0,0,0
ATM Card Related,Neutral,1.97,3.5,0.0,0,0
MNREGA Account,Neutral,1.95,3.5,0.0,0,0
National Savings Certificate VIII or IX,Neutral,2.01,3.5,0.0,0,0
Kisan Vikas Patra,Neutral,1.97,3.5,0.0,0,0
Indian Postal Order (IPO) Related,Neutral,2.0,3.5,0.0,0,0
Closure/Premature Closure of account at Branch Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Head Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Sub Post Office,Neutral,2.03,3.5,0.0,0,0
Issue of Dublicate Passbook,Neutral,1.99,3.5,0.0,0,0
Opening of account,Neutral,1.97,3.5,0.0,0,0
Return of Passbook,Neutral,1.97,3.5,0.0,0,0
Settlement of deceased claim case with nomination,Neutral,2.02,3.5,0.0,0,0
Settlement of deceased claim case without nomination but with proof of,Neutral,2.06,3.5,0.0,0,0
Transfer of account-Application given at PO where account stands,Critical/Urgent,6.17,5.78,-0.6523,0,0
Transfer of account-Application given at Transferee PO,Critical/Urgent,6.15,5.78,-0.6523,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Closure/Premature Closure of account at Branch Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Head Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Sub Post Office,Neutral,2.03,3.5,0.0,0,0
Issue of Dublicate Passbook,Neutral,1.99,3.5,0.0,0,0
Opening of account,Neutral,1.97,3.5,0.0,0,0
Return of Passbook,Neutral,1.97,3.5,0.0,0,0
Settlement of deceased claim case with nomination,Neutral,2.02,3.5,0.0,0,0
Settlement of deceased claim case without nomination but with proof of,Neutral,2.06,3.5,0.0,0,0
Transfer of account-Application given at PO where account stands,Critical/Urgent,6.17,5.78,-0.6523,0,0
Transfer of account-Application given at Transferee PO,Critical/Urgent,6.15,5.78,-0.6523,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Closure/Premature Closure of account at Branch Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Head Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Sub Post Office,Neutral,2.03,3.5,0.0,0,0
Issue of Dublicate Passbook,Neutral,1.99,3.5,0.0,0,0
Opening of account,Neutral,1.97,3.5,0.0,0,0
Return of Passbook,Neutral,1.97,3.5,0.0,0,0
Settlement of deceased claim case with nomination,Neutral,2.02,3.5,0.0,0,0
Settlement of deceased claim case without nomination but with proof of,Neutral,2.06,3.5,0.0,0,0
Transfer of account-Application given at PO where account stands,Critical/Urgent,6.17,5.78,-0.6523,0,0
Transfer of account-Application given at Transferee PO,Critical/Urgent,6.15,5.78,-0.6523,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Closure/Premature Closure of account at Branch Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Head Post Office,Neutral,2.03,3.5,0.0,0,0
Closure/Premature Closure of account at Sub Post Office,Neutral,2.03,3.5,0.0,0,0
Issue of Dublicate Passbook,Neutral,1.99,3.5,0.0,0,0
Opening of account,Neutral,1.97,3.5,0.0,0,0
Return of Passbook,Neutral,1.97,3.5,0.0,0,0
Settlement of deceased claim case with nomination,Neutral,2.02,3.5,0.0,0,0
Settlement of deceased claim case without nomination but with proof of,Neutral,2.06,3.5,0.0,0,0
Transfer of account-Application given at PO where account stands,Critical/Urgent,6.17,5.78,-0.6523,0,0
Transfer of account-Application given at Transferee PO,Critical/Urgent,6.15,5.78,-0.6523,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Issuance Issues,Neutral,1.95,3.5,0.0,0,0
Payment Issues,Neutral,1.95,3.5,0.0,0,0
Claim Cases Related,Neutral,1.97,3.5,0.0,0,0
Tansfer Case Related,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Issuance Issues,Neutral,1.95,3.5,0.0,0,0
Payment Issues,Neutral,1.95,3.5,0.0,0,0
Claim Cases Related,Neutral,1.97,3.5,0.0,0,0
Tansfer Case Related,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Issuance Issues,Neutral,1.95,3.5,0.0,0,0
Payment Issues,Neutral,1.95,3.5,0.0,0,0
Claim Cases Related,Neutral,1.97,3.5,0.0,0,0
Tansfer Case Related,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
ATM Card Blocking,Negative,4.07,4.84,-0.3818,0,0
PIN Issue/Re-issue of Debit Card,Neutral,2.0,3.5,0.0,0,0
Payment of Wages to MNREGA workers,Neutral,2.01,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Encashment of Certificates at office of issue,Neutral,2.02,3.5,0.0,0,0
Encashment of Certificates at other office,Neutral,2.01,3.5,0.0,0,0
Issue of Certificates,Neutral,1.97,3.5,0.0,0,0
Issue of Dublicate Certificates Application given at office of issue,Neutral,2.05,3.5,0.0,0,0
Issue of Dublicate Certificates Application given at other office,Neutral,2.04,3.5,0.0,0,0
Transfer of Certificates Application given at Other Post Office,Neutral,2.04,3.5,0.0,0,0
Transfer of Certificates Application given at Post Office of Registration,Neutral,2.05,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Encashment of Certificates at office of issue,Neutral,2.02,3.5,0.0,0,0
Encashment of Certificates at other office,Neutral,2.01,3.5,0.0,0,0
Issue of Certificates,Neutral,1.97,3.5,0.0,0,0
Issue of Dublicate Certificates Application given at office of issue,Neutral,2.05,3.5,0.0,0,0
Issue of Dublicate Certificates Application given at other office,Neutral,2.04,3.5,0.0,0,0
Transfer of Certificates Application given at Other Post Office,Neutral,2.04,3.5,0.0,0,0
Transfer of Certificates Application given at Post Office of Registration,Neutral,2.05,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Non-encashement,Neutral,1.92,3.5,0.0,0,0
Extension of Validity,Neutral,1.97,3.5,0.0,0,0
Non-Availability,Neutral,1.92,3.5,0.0,0,0
Postal Life Insurance,Neutral,1.97,3.5,0.0,0,0
Rural Postal Life Insurance,Neutral,1.99,3.5,0.0,0,0
Change of Address,Neutral,1.97,3.5,0.0,0,0
Change of Nomination,Neutral,1.97,3.5,0.0,0,0
Conversion of Policy,Neutral,1.97,3.5,0.0,0,0
Delay/ non-receipt of acceptance letter/PR book/Policy bond,Negative,5.54,2.39,0.4588,0,1
Issue of acceptance passbook,Positive,0.46,1.89,0.4588,0,0
Issue of policy bond,Neutral,1.99,3.5,0.0,0,0
Loan of policies,Neutral,1.97,3.5,0.0,0,0
Non-conversion/Delay in conversion,Negative,5.77,4.0,0.0,0,1
Non-payment/Delay in payment of death claim,Critical/Urgent,8.04,7.6,-0.5994,1,1
Non-payment/Delay in payment of loan amount,Negative,5.81,4.0,0.0,0,1
Non-payment/Delay in payment of maturity value,Negative,5.6,2.81,0.34,0,1
Non-payment/Delay in payment of surrender value,Negative,5.6,2.81,0.34,0,1
Non-payment/Delay in payment of survival benefits,Negative,5.58,2.66,0.3818,0,1
Non-revival/Delay in revival,Negative,5.77,4.0,0.0,0,1
Non-transfer/Delay in transfer,Negative,5.77,4.0,0.0,0,1
Paid up Value,Positive,0.52,2.31,0.34,0,0
Revival of Policy,Neutral,1.97,3.5,0.0,0,0
Settlement of claim on death with nomination,Critical/Urgent,8.06,7.1,-0.5994,1,0
Settlement of claim on maturity,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Change of Address,Neutral,1.97,3.5,0.0,0,0
Change of Nomination,Neutral,1.97,3.5,0.0,0,0
Conversion of Policy,Neutral,1.97,3.5,0.0,0,0
Delay/ non-receipt of acceptance letter/PR book/Policy bond,Negative,5.54,2.39,0.4588,0,1
Issue of acceptance passbook,Positive,0.46,1.89,0.4588,0,0
Issue of policy bond,Neutral,1.99,3.5,0.0,0,0
