Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Announcements/Displays,Neutral,1.92,3.5,0.0,0,0
Check-in Waiting,Neutral,1.95,3.5,0.0,0,0
Denied Boarding,Negative,4.08,5.04,-0.4404,0,0
Lounge Facilities,Neutral,1.95,3.5,0.0,0,0
Wheelchair/Facilitation,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Cancellation update,Negative,5.75,4.0,0.0,0,1
Absence of Advance Information,Neutral,1.99,3.5,0.0,0,0
Misconnection/Reprotection,Neutral,1.92,3.5,0.0,0,0
Facilitation,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Cabin Crew attitude and behaviour,Neutral,2.0,3.5,0.0,0,0
Cabin Services,Neutral,1.95,3.5,0.0,0,0
Meals,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Air Conditioning,Neutral,1.95,3.5,0.0,0,0
Cabin Upkeep,Neutral,1.95,3.5,0.0,0,0
Toilet Upkeep,Neutral,1.95,3.5,0.0,0,0
Dysfunctional Seats,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Agent Booking,Neutral,1.95,3.5,0.0,0,0
Air India Website Bookings/Refunds,Neutral,1.99,3.5,0.0,0,0
Accessibility,Neutral,1.92,3.5,0.0,0,0
Incorrect Information conveyed,Neutral,1.97,3.5,0.0,0,0
Delay/Cancellation information not conveyed,Negative,5.79,4.0,0.0,0,1
Others,Neutral,1.92,3.5,0.0,0,0
Membership enrollment & KYC,Neutral,1.99,3.5,0.0,0,0
Retro Credit/Missing Miles,Neutral,1.97,3.5,0.0,0,0
Redemption,Neutral,1.92,3.5,0.0,0,0
General,Neutral,1.92,3.5,0.0,0,0
SEC member & Service,Neutral,1.99,3.5,0.0,0,0
GEC Member & Service,Neutral,1.99,3.5,0.0,0,0
TMC Member & Service,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
On Board Airconditioning,Neutral,1.97,3.5,0.0,0,0
Cabin Upkeep,Neutral,1.95,3.5,0.0,0,0
Toilet Upkeep,Neutral,1.95,3.5,0.0,0,0
Dysfunctional Seats,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
Tarmac Coaches,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
Airport Services,Neutral,1.95,3.5,0.0,0,0
Refund of Bookings,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Related,Neutral,1.95,3.5,0.0,0,0
Airport Services,Neutral,1.95,3.5,0.0,0,0
Refund of Booking,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Mishandled Cargo,Neutral,1.95,3.5,0.0,0,0
Staff Behaviour,Neutral,1.95,3.5,0.0,0,0
Delayed Cargo,Negative,5.89,4.79,-0.2263,0,1
Others,Neutral,1.92,3.5,0.0,0,0
Anything related to Air India Medical,Neutral,2.01,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Request to start flights under RCS,Neutral,2.01,3.5,0.0,0,0
Request to start new destinations under RCS,Neutral,2.02,3.5,0.0,0,0
Air Tickets under RCS are too expensive,Neutral,2.02,3.5,0.0,0,0
Delay/Cancellation update,Negative,5.75,4.0,0.0,0,1
Booking of tickets,Neutral,1.97,3.5,0.0,0,0
Non receipt of refund amount,Neutral,2.0,3.5,0.0,0,0
Cancellation of tickets,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Directorate General of Civil Aviation.,Neutral,2.0,3.5,0.0,0,0
Bureau of Civil Aviation Security,Positive,0.55,2.31,0.34,0,0
Commission of Railway Safety,Positive,0.49,2.02,0.4215,0,0
Airport Authority of India,Positive,0.7,3.23,0.0772,0,0
Pawan Hans Helicopter Ltd.,Neutral,1.99,3.5,0.0,0,0
Indira Gandhi Rashtriya Uran Academy.,Neutral,2.0,3.5,0.0,0,0
Rajiv Gandhi National Aviation University,Neutral,2.0,3.5,0.0,0,0
Principal Accounts MOCA,Neutral,1.97,3.5,0.0,0,0
Air India,Neutral,1.95,3.5,0.0,0,0
MOCA (Secretariat level),Neutral,1.97,3.5,0.0,0,0
Compensatory ground appointment,Neutral,1.97,3.5,0.0,0,0
Recruitment related,Neutral,1.95,3.5,0.0,0,0
Procurement related,Neutral,1.95,3.5,0.0,0,0
Unemployment related,Negative,4.08,5.04,-0.4404,0,0
Scholarship / Sponsorship related,Neutral,1.99,3.5,0.0,0,0
Pending any type of Bill/dues for payment,Neutral,2.02,3.5,0.0,0,0
Issues related to Promotion,Neutral,1.99,3.5,0.0,0,0
Transfer/Posting,Neutral,1.92,3.5,0.0,0,0
Pending Disciplinary/Vigilance matters,Neutral,1.95,3.41,0.0258,0,0
Bharatkosh Payment related,Neutral,1.97,3.5,0.0,0,0
Official Language related,Neutral,1.97,3.5,0.0,0,0
Sexual harassment,Negative,4.14,5.4,-0.5423,0,0
Misbehaviour/Harassment by any officer/staff,Neutral,1.99,3.5,0.0,0,0
TA settlement by regional offices,Neutral,2.0,3.5,0.0,0,0
Pension not started / Pension stopped,Positive,0.67,2.91,0.1695,0,0
Non-receipt of pension,Neutral,1.97,3.5,0.0,0,0
Non-receipt of benefit after retiremnet,Positive,0.48,1.89,0.4588,0,0
Delay in getting pension,Negative,5.98,5.11,-0.3182,0,1
Leave/LTC   matters,Neutral,1.93,3.41,0.0258,0,0
Vigilance enquiry,Neutral,1.95,3.5,0.0,0,0
Transfer / posting,Neutral,1.97,3.5,0.0,0,0
Promotions ,Neutral,1.92,3.5,0.0,0,0
Grant of MACP,Positive,0.51,2.24,0.3612,0,0
Pension Related,Neutral,1.95,3.5,0.0,0,0
HR related matters,Neutral,1.95,3.41,0.0258,0,0
Old CAD Pension Cases,Neutral,1.99,3.5,0.0,0,0
New EPFO Pension Cases,Neutral,1.99,3.5,0.0,0,0
PPO not issued,Neutral,1.97,3.5,0.0,0,0
Pension / Arrears not received,Neutral,2.0,3.5,0.0,0,0
Family pension / Arrears not received,Neutral,2.01,3.5,0.0,0,0
Social security related issues,Positive,0.54,2.31,0.34,0,0
Anomaly in recruitment process,Neutral,1.99,3.5,0.0,0,0
Terminal Benefits not received,Positive,0.51,2.16,0.3818,0,0
Request for compassionate appointment,Positive,0.44,1.77,0.4939,0,0
Allotment of residential accomodation in AAI Colonies,Neutral,2.02,3.5,0.0,0,0
Contract Labour related,Neutral,1.97,3.5,0.0,0,0
Retirement benefits,Positive,0.47,2.16,0.3818,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
Harassment,Negative,4.11,5.4,-0.5423,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Ex Employees related - Release/ Delay in payement of dues,Negative,6.05,5.11,-0.3182,0,1
Ex Employees related - Release/ Delay in payement of dues,Negative,6.05,5.11,-0.3182,0,1
Regular/Family Pension,Neutral,1.95,3.5,0.0,0,0
AAI Pension cases(less than 10 years),Neutral,2.01,3.5,0.0,0,0
Any other pension related grievance.,Negative,4.16,5.17,-0.4767,0,0
 Transfer/Posting,Neutral,1.92,3.5,0.0,0,0
Pending Disciplinary/Vigilance matters,Neutral,1.95,3.41,0.0258,0,0
Sexual harassment,Negative,4.14,5.4,-0.5423,0,0
Misbehaviour/Harassment by any officer/staff,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
HR Issues,Neutral,1.95,3.5,0.0,0,0
Aircraft Accident and Serious Incident Investigation,Critical/Urgent,8.0,6.84,-0.5267,1,0
Matter related to Investigation Report,Neutral,1.99,3.41,0.0258,0,0
Matter related to Investigation Documents,Neutral,1.99,3.41,0.0258,0,0
Railways/ Metro related,Neutral,1.97,3.5,0.0,0,0
Related with CRS (Clearances)/ Technical Matters,Neutral,2.0,3.41,0.0258,0,0
Accident Investigation/ Reports,Critical/Urgent,7.92,6.67,-0.4767,1,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Cancellation update,Negative,5.75,4.0,0.0,0,1
Booking of tickets,Neutral,1.97,3.5,0.0,0,0
Non receipt of refund amount,Neutral,2.0,3.5,0.0,0,0
Cancellation of tickets,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Parking Related Cases,Neutral,1.97,3.5,0.0,0,0
Facilitation at Airports,Neutral,1.97,3.5,0.0,0,0
Land Management related cases,Neutral,1.99,3.5,0.0,0,0
Security related cases,Positive,0.52,2.31,0.34,0,0
Toilet related cases,Neutral,1.97,3.5,0.0,0,0
Cleanliness related cases,Neutral,1.97,3.5,0.0,0,0
Expansion of Airports / Runways / Terminal Buildings,Neutral,2.03,3.5,0.0,0,0
Privatization of Airports,Neutral,1.97,3.5,0.0,0,0
Air Traffic Related Cases,Neutral,1.99,3.5,0.0,0,0
Public Transport and Taxi Services,Neutral,2.0,3.5,0.0,0,0
Lost / Stolen articles at Airports,Critical/Urgent,6.15,5.85,-0.6705,0,0
Complaint of corruption and Malpractices,Negative,5.98,5.04,-0.296,0,1
Cargo Department related complaints,Negative,6.04,5.41,-0.4019,0,1
Other / miscellaneous,Neutral,1.97,3.5,0.0,0,0
Ground handlers,Neutral,1.95,3.5,0.0,0,0
Illegal Parking Charges,Critical/Urgent,6.12,5.92,-0.6908,0,0
Congestion at parking bays,Neutral,1.99,3.5,0.0,0,0
Damage to parked vehicle,Negative,4.15,5.23,-0.4939,0,0
Wrong parking slip issued,Negative,4.14,5.17,-0.4767,0,0
Misbehaviour by parking attendant,Neutral,1.99,3.5,0.0,0,0
No digital payment,Negative,4.01,4.54,-0.296,0,0
Lack of Trolleys,Negative,4.03,4.61,-0.3182,0,0
Lack of Wheel Chairs,Negative,4.05,4.61,-0.3182,0,0
Buggies / Golf Carts,Neutral,1.99,3.5,0.0,0,0
No drinking Water,Negative,4.01,4.54,-0.296,0,0
Poor Air conditioning,Negative,6.06,5.67,-0.4767,0,1
Wifi services,Neutral,1.95,3.5,0.0,0,0
X-ray machines,Neutral,1.95,3.5,0.0,0,0
Seating  / chairs,Neutral,1.97,3.5,0.0,0,0
Lift /escalators / Travelators,Neutral,1.99,3.5,0.0,0,0
Prayer / Meditation Room,Neutral,1.99,3.5,0.0,0,0
Signage / Display Boards / FIDS,Neutral,2.01,3.5,0.0,0,0
Lack of Medical facilities,Negative,4.05,4.61,-0.3182,0,0
Smoking Rooms at airports,Neutral,1.99,3.5,0.0,0,0
Mobile charging points,Neutral,1.97,3.5,0.0,0,0
Problems  faced by differently abled pax / users,Negative,6.08,5.41,-0.4019,0,1
Encroachment of Airport Land,Neutral,1.99,3.5,0.0,0,0
Non Compensation in lieu of land acquisition,Neutral,2.02,3.5,0.0,0,0
Not willing to handover land,Neutral,2.0,3.5,0.0,0,0
Long queues at Entry Gate,Neutral,2.0,3.5,0.0,0,0
No separate queues for Elders / pregnant ladies / infants,Negative,4.09,4.54,-0.296,0,0
Entry not allowed / Wrong ID,Positive,0.54,2.2,0.3724,0,0
Misbehaviour / rude behaviour,Negative,4.13,5.11,-0.4588,0,0
Articles wrongly confiscated by CISF,Neutral,2.0,3.5,0.0,0,0
Entry problems faced by physically challanged,Negative,6.06,5.41,-0.4019,0,1
Dirty / stinking Toilets,Critical/Urgent,6.17,6.1,-0.743,0,0
No soap / tissues / sanitizers,Negative,4.06,4.54,-0.296,0,0
Flush not working,Negative,5.77,4.0,0.0,0,1
No water in toilets,Critical/Urgent,7.83,6.04,-0.296,1,0
Non availablity / Dirty Toilets outside Terminal Building,Negative,4.17,5.04,-0.4404,0,0
Lack of cleanliness,Negative,4.03,4.61,-0.3182,0,0
Dustbins not emptited,Neutral,1.97,3.5,0.0,0,0
Mosquitoes breeding in terminals,Neutral,1.99,3.5,0.0,0,0
Rats / Birds in terminal buildings,Neutral,2.01,3.5,0.0,0,0
Request to open new airport,Neutral,2.0,3.5,0.0,0,0
Request to develop the exisiting Airport,Neutral,2.01,3.5,0.0,0,0
Extension of Runways,Neutral,1.97,3.5,0.0,0,0
Upgradation of airport to International,Neutral,2.0,3.5,0.0,0,0
Representation to stop privatization,Negative,4.03,4.54,-0.296,0,0
Representation in favour of privatization,Positive,0.49,1.96,0.4404,0,0
Other issues,Neutral,1.95,3.5,0.0,0,0
NOC issuance related issues,Neutral,1.99,3.5,0.0,0,0
Air space management related cases,Neutral,2.0,3.5,0.0,0,0
Noise due to low flying aircrafts,Negative,4.04,4.46,-0.2732,0,0
Taxi charges too high / not justified,Negative,4.21,5.32,-0.52,0,0
Not allowing app based taxis,Neutral,2.0,3.5,0.0,0,0
Fare Wrongly charged,Negative,3.96,4.21,-0.2023,0,0
Inter-terminal transfer related complaints,Negative,6.04,5.41,-0.4019,0,1
Lost and found department related,Negative,4.06,4.61,-0.3182,0,0
Left / lost articles at security check,Neutral,2.01,3.41,0.0258,0,0
Hand bag left / lost,Positive,0.62,2.71,0.2263,0,0
Demand of bribe by trolley retrievers / Golf Cart drivers,Negative,4.11,4.61,-0.3182,0,0
Demand of bribe at Cargo department,Negative,4.07,4.61,-0.3182,0,0
Tender related complaints,Negative,6.02,5.41,-0.4019,0,1
Fraudullent calls for recruitment in aviation,Neutral,2.01,3.5,0.0,0,0
Non payment / delayed payment of bills,Negative,5.96,4.79,-0.2263,0,1
Complaints related to Imports / Export Cargo,Negative,6.07,5.41,-0.4019,0,1
Complaints related to demurrage charges,Negative,6.16,6.05,-0.5859,0,1
IT Division related complaints,Negative,6.04,5.41,-0.4019,0,1
PR Department related complaints,Negative,6.04,5.41,-0.4019,0,1
Immigration Department related,Neutral,1.97,3.5,0.0,0,0
Customs Department related,Neutral,1.97,3.5,0.0,0,0
CNS Department related complaints,Negative,6.04,5.41,-0.4019,0,1
Engineering Department related complaints,Negative,6.04,5.41,-0.4019,0,1
Operations Directorate related,Neutral,1.97,3.5,0.0,0,0
Indira Gandhi Rashtriya Uran Academy.,Neutral,2.0,3.5,0.0,0,0
Rajiv Gandhi National Aviation University,Neutral,2.0,3.5,0.0,0,0
Admission Related,Neutral,1.95,3.5,0.0,0,0
Student Related,Neutral,1.95,3.5,0.0,0,0
Exam Center,Neutral,1.95,3.5,0.0,0,0
Qestion Paper Issue,Neutral,1.97,3.5,0.0,0,0
others,Neutral,1.92,3.5,0.0,0,0
Fee,Neutral,1.92,3.5,0.0,0,0
Interest/Penality,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Tariff regulation,Neutral,1.95,3.5,0.0,0,0
Passenger Harassment by Domestic Airlines,Negative,4.2,5.4,-0.5423,0,0
Passenger Harassment by Foreign Airlines,Negative,4.2,5.4,-0.5423,0,0
Passenger Harassment by Helicopter Operators / Non scheduled Operators,Negative,4.24,5.4,-0.5423,0,0
Fare related,Neutral,1.95,3.5,0.0,0,0
Refund related,Neutral,1.95,3.5,0.0,0,0
Flight Problem,Negative,5.99,5.41,-0.4019,0,1
Baggage related,Neutral,1.95,3.5,0.0,0,0
Customer Service,Neutral,1.95,3.5,0.0,0,0
Persons with Disability related,Neutral,1.99,3.5,0.0,0,0
Staff behaviour related,Neutral,1.97,3.5,0.0,0,0
Catering related,Neutral,1.95,3.5,0.0,0,0
Others passenger related issues,Neutral,1.99,3.5,0.0,0,0
Fare related,Neutral,1.95,3.5,0.0,0,0
Refund related,Neutral,1.95,3.5,0.0,0,0
Flight Problem,Negative,5.99,5.41,-0.4019,0,1
Baggage related,Neutral,1.95,3.5,0.0,0,0
Customer Service,Neutral,1.95,3.5,0.0,0,0
Persons with Disability related,Neutral,1.99,3.5,0.0,0,0
Staff behaviour related,Neutral,1.97,3.5,0.0,0,0
catering related,Neutral,1.95,3.5,0.0,0,0
Others passenger related issues,Neutral,1.99,3.5,0.0,0,0
Ticket cancellation by Operator,Neutral,1.99,3.5,0.0,0,0
Refund not processed,Neutral,1.97,3.5,0.0,0,0
Name correction,Neutral,1.95,3.5,0.0,0,0
Import of Aircraft related,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Aerodrome Licencing related,Neutral,1.97,3.5,0.0,0,0
"Air Operator Permit of NSOP, SOP and SCO related",Neutral,2.04,3.5,0.0,0,0
Corruption allegation,Neutral,1.95,3.5,0.0,0,0
Aicraft Safety related,Positive,0.47,2.02,0.4215,0,0
Drone / RPAS related,Neutral,1.99,3.5,0.0,0,0
Aircraft Maintenance Engineer (AME) related,Neutral,2.0,3.5,0.0,0,0
Pilot issues,Neutral,1.95,3.5,0.0,0,0
Domestic Aircraft Airworthiness related,Neutral,1.99,3.5,0.0,0,0
"CAR 147,145 and 147 Basic related",Neutral,2.01,3.5,0.0,0,0
Regulation / Rules / Dangerous Goods related,Critical/Urgent,7.98,6.67,-0.4767,1,0
Flying Training School / Institute related,Neutral,2.01,3.5,0.0,0,0
Flying Crew / Cabin Crew related,Neutral,2.01,3.5,0.0,0,0
Environment related issues,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay in airport licencing,Negative,5.98,5.11,-0.3182,0,1
Airport Inspection during licensing,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Non-Scheduled Air Transport Permit,Neutral,1.99,3.5,0.0,0,0
Scheduled Air Transport Permit,Neutral,1.99,3.5,0.0,0,0
Scheduled Commuter Air Transport Permit,Neutral,2.0,3.5,0.0,0,0
Import of Aircraft related,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Bharatkosh Payment related,Neutral,1.97,3.5,0.0,0,0
Corruption,Neutral,1.92,3.5,0.0,0,0
Misue of post and power,Neutral,2.0,3.5,0.0,0,0
Incidents / Accidents / Techincal Occurances / Operational Occurences,Critical/Urgent,7.9,6.11,-0.3182,1,0
Breath Analysers of Pilot,Neutral,1.99,3.5,0.0,0,0
Safety Management System / State Safety Programs,Positive,0.36,1.12,0.6808,0,0
Air conditioned not working during flight,Negative,5.81,4.0,0.0,0,1
Others,Neutral,1.92,3.5,0.0,0,0
Operations pf RPAS related,Neutral,1.99,3.5,0.0,0,0
Import Permission / Local Acquisition and Unmanned Aircraft Operator Permit (UAOP),Neutral,2.06,3.5,0.0,0,0
Security Clearance and Issuance of UIN,Positive,0.56,2.31,0.34,0,0
Issuance of UAOP,Neutral,1.97,3.5,0.0,0,0
Certification / Equipment acceptance of RPAS,Positive,0.49,1.89,0.4588,0,0
Remite Pilot Training,Neutral,1.97,3.5,0.0,0,0
Examination,Neutral,1.92,3.5,0.0,0,0
Remote Pilot Licensing,Neutral,1.97,3.5,0.0,0,0
Exemption and Aerial Photography,Neutral,1.99,3.5,0.0,0,0
Occurrence / Incident / Accident / Investigation related to RPAS,Critical/Urgent,8.0,6.67,-0.4767,1,0
Drone Corridors / Unmanned Aircraft Traffic Management,Neutral,2.02,3.5,0.0,0,0
Drone Ports,Neutral,1.95,3.5,0.0,0,0
Examination related,Neutral,1.95,3.5,0.0,0,0
Instutitute related,Neutral,1.95,3.5,0.0,0,0
Employment,Neutral,1.92,3.5,0.0,0,0
Fee Issue,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Examination related,Neutral,1.95,3.5,0.0,0,0
Issuance of Licence,Neutral,1.97,3.5,0.0,0,0
Medical related,Neutral,1.95,3.5,0.0,0,0
Suspension of Licence by Air Safety Directorate,Positive,0.52,2.02,0.4215,0,0
Suspension of Licence by Flight Standard Directorate,Neutral,2.02,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
"Servicing, Maintenance related",Neutral,1.97,3.5,0.0,0,0
"C of R, C of A related",Neutral,2.02,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Audit related,Neutral,1.95,3.5,0.0,0,0
Approval related,Positive,0.41,1.83,0.4767,0,0
"Servicing, Maintenance related",Neutral,1.97,3.5,0.0,0,0
Dangerous goods related,Critical/Urgent,7.92,6.67,-0.4767,1,0
Exemption / Aerial photography related,Neutral,2.0,3.5,0.0,0,0
Policy / CAR related issues,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Flying Training School / Institute related,Neutral,2.01,3.5,0.0,0,0
Aero Sports Activity realted,Neutral,1.99,3.5,0.0,0,0
Chief Flight Instructor related,Neutral,1.99,3.5,0.0,0,0
Flying crew / Cabin Crew related,Neutral,2.01,3.5,0.0,0,0
Institute of Air Hostess,Neutral,1.99,3.5,0.0,0,0
Training related,Neutral,1.95,3.5,0.0,0,0
Enviornment related issues,Neutral,1.97,3.5,0.0,0,0
Noise related issues,Neutral,1.97,3.5,0.0,0,0
Harassment of Security Staff,Negative,4.02,4.46,-0.2732,0,0
Security clearance of employees,Positive,0.54,2.31,0.34,0,0
Security Programme,Positive,0.5,2.31,0.34,0,0
Security Facility at aiport,Positive,0.54,2.31,0.34,0,0
Airline staff related matters,Neutral,1.97,3.41,0.0258,0,0
Security banned/removed items,Positive,0.52,2.31,0.34,0,0
E-Sahaj related matters,Neutral,1.95,3.41,0.0258,0,0
Security Clearance of entitities,Positive,0.54,2.31,0.34,0,0
Vigilance Matters,Neutral,1.93,3.41,0.0258,0,0
Security Equipment,Positive,0.5,2.31,0.34,0,0
Airport Entry Permit (AEP),Neutral,1.99,3.5,0.0,0,0
Security Training matters,Positive,0.51,2.24,0.3612,0,0
Harassment of ASG,Negative,4.17,5.4,-0.5423,0,0
Harassment of Airline Staff,Negative,4.18,5.4,-0.5423,0,0
Harassment of Airport Staff,Negative,4.18,5.4,-0.5423,0,0
Not Getting clearance on time,Neutral,2.0,3.5,0.0,0,0
Rejected,Negative,4.09,5.29,-0.5106,0,0
Delay in getting approval,Negative,5.66,3.29,0.2023,0,1
Rejection of security programme,Negative,4.02,4.46,-0.2732,0,0
Other problems,Negative,5.99,5.41,-0.4019,0,1
Non availability of security system,Positive,0.55,2.31,0.34,0,0
Non   availability  of security helpdesk,Positive,0.55,2.31,0.34,0,0
Other Reason,Neutral,1.95,3.5,0.0,0,0
Shortage of staff,Negative,3.99,4.38,-0.25,0,0
Checkk-in-staff (Ground staff) is not polite,Neutral,2.01,3.5,0.0,0,0
Non Availability of staff,Neutral,1.99,3.5,0.0,0,0
Removal of items by security staff,Positive,0.56,2.31,0.34,0,0
Not permitting a particular item,Neutral,2.0,3.5,0.0,0,0
Not returning the items,Neutral,1.99,3.5,0.0,0,0
Non display of banned items on the airport,Negative,4.18,5.11,-0.4588,0,0
Deley in getting security clearance,Positive,0.55,2.31,0.34,0,0
Rejection  of security clearance,Negative,4.02,4.46,-0.2732,0,0
Adverse remark by verification Authority,Negative,4.05,4.54,-0.296,0,0
Observations of BCAS5.Closurer of E-sahaj application,Neutral,2.01,3.5,0.0,0,0
Return of e-sahaj application,Neutral,1.99,3.5,0.0,0,0
Delay in getting  security clearance,Negative,5.78,3.91,0.0258,0,1
Rejection  of security clearance,Negative,4.02,4.46,-0.2732,0,0
Adverse remark by verification Authority,Negative,4.05,4.54,-0.296,0,0
Observations of BCAS,Neutral,1.97,3.5,0.0,0,0
Closurer of application,Neutral,1.97,3.5,0.0,0,0
Return of  application,Neutral,1.97,3.5,0.0,0,0
Pending vigilance enquiry,Neutral,1.97,3.5,0.0,0,0
Actions on Vigilance enquiry,Neutral,1.99,3.5,0.0,0,0
Shortage of security equipment,Positive,0.68,3.14,0.1027,0,0
Non utilization of security equipment,Positive,0.55,2.31,0.34,0,0
Not working condition of security equipment,Negative,5.6,2.81,0.34,0,1
Deley in getting AEP,Neutral,1.99,3.5,0.0,0,0
Rejection of AEP,Negative,4.17,5.4,-0.5423,0,0
Adverse remark by verification authority,Negative,4.05,4.54,-0.296,0,0
Wrong  issue of AEP,Negative,4.14,5.17,-0.4767,0,0
Misuse or AEP.,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay in issue certificate,Negative,5.98,5.11,-0.3182,0,1
Non receipt of,Neutral,1.97,3.5,0.0,0,0
Not  getting seat for training,Neutral,2.0,3.5,0.0,0,0
Non –compliance of regulations  by ASTI,Neutral,2.01,3.5,0.0,0,0
Expiree of validation of certificate,Neutral,2.0,3.5,0.0,0,0
"Cargo ,Logistics & Allied services",Neutral,2.0,3.5,0.0,0,0
Aircraft providers,Neutral,1.95,3.5,0.0,0,0
Cargo terminal operators,Neutral,1.97,3.5,0.0,0,0
Parts Banks,Neutral,1.95,3.5,0.0,0,0
Other Allied services both on and off Airport,Neutral,2.03,3.5,0.0,0,0
Tier 1 Suplliers,Neutral,1.97,3.5,0.0,0,0
OEMs,Neutral,1.92,3.5,0.0,0,0
Lessors,Neutral,1.92,3.5,0.0,0,0
MROs,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Higher Education,Neutral,1.95,3.5,0.0,0,0
Entrance Exam Related (NEET / JEE / NET / ARPIT / GPAT / IND SAT / NCHM / CMAT / IIFT / NLU),Neutral,2.11,3.5,0.0,0,0
Exam and Result Related,Neutral,1.99,3.5,0.0,0,0
Fee Related,Neutral,1.95,3.5,0.0,0,0
Admission Related,Neutral,1.95,3.5,0.0,0,0
Book promotion ISBN etc.,Neutral,1.99,3.5,0.0,0,0
Service Matter/Pension/Retirement Related,Neutral,1.97,3.5,0.0,0,0
Scholarship Fellowship Related,Neutral,1.97,3.5,0.0,0,0
Reservation Related,Neutral,1.95,3.5,0.0,0,0
Corruption related,Neutral,1.95,3.5,0.0,0,0
Policy Matter Related/ New Education Policy,Neutral,2.0,3.41,0.0258,0,0
Anti Ragging Related,Negative,4.03,4.61,-0.3182,0,0
Sexual Harrassement Related,Neutral,1.97,3.5,0.0,0,0
Harrassement Related,Neutral,1.95,3.5,0.0,0,0
Language institute,Neutral,1.95,3.5,0.0,0,0
Miscelleneous/Others Grievances,Negative,4.03,4.76,-0.3612,0,0
Grievance regarding Indian students studying abroad,Negative,4.17,5.17,-0.4767,0,0
Hall ticket not received,Neutral,1.99,3.5,0.0,0,0
Results not out,Neutral,1.97,3.5,0.0,0,0
Reevaluation,Neutral,1.92,3.5,0.0,0,0
Issues regarding admission rounds,Neutral,1.99,3.5,0.0,0,0
Selection of a different Course (after 1st SEM),Neutral,2.03,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Hall ticket not received,Neutral,1.99,3.5,0.0,0,0
Results not out,Neutral,1.97,3.5,0.0,0,0
Reevaluation,Neutral,1.92,3.5,0.0,0,0
Issues regarding admission rounds,Neutral,1.99,3.5,0.0,0,0
Selection of a different Course (after 1st SEM),Neutral,2.03,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
"Refund, Late submission",Neutral,1.97,3.5,0.0,0,0
Renewal of course registration,Neutral,1.99,3.5,0.0,0,0
Penalty,Negative,4.06,5.11,-0.4588,0,0
Payment of semester fee/annual fee,Neutral,2.0,3.5,0.0,0,0
Hostel Related,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Confirmation letter/mail,Neutral,1.95,3.5,0.0,0,0
Admission fee,Neutral,1.95,3.5,0.0,0,0
Documents verified,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Pension Related (PPO No.),Neutral,1.99,3.5,0.0,0,0
Revision of Pension,Neutral,1.97,3.5,0.0,0,0
